index	upstream_sha	commit_date	subject	review_status	decision	rtd_commit	notes
1	211e22a5b0e08f8840f6a3e74120e1b4b04d5adb	2025-12-21	Add address balance stress test (#24633)	REVIEWED	EXCLUDE_NON_CODE		仅新增压力测试和测试币包，未修复既有缺陷
2	a817cc2d45f0419c367f9b4bc92558bbbfb3f5a5	2025-12-22	fix: correct IPv6 port checks in multiaddr tests (#24640)	APPLIED	MERGE	c4fc569f1d8269ccb6280bf38bbe1eac7eadc23e	修复 fork 基线既有测试误用 IPv4 变量
3	0662e8825c8c02e7e63b3014acfd05a9058a8345	2025-12-22	[consensus] recover own blocks regardless of whether blocks have been accepted in the epoch (#24698)	APPLIED	MERGE	d97eace1dbb93f7b8bf8db9649801d2081a2e454	移除基线 highest_accepted_round 限制，首次进程启动始终执行 amnesia recovery
4	b7982f0d0725e129f9c524f53bfe3af536248d0e	2025-12-22	[1/n][sui-bridge][JSON RPC -> gRPC Migration] use gRPC for querying bridge events on sui (#24606)	REVIEWED	EXCLUDE_FEATURE		JSON-RPC 到 gRPC 的桥接迁移，新增约 888 行
5	1c3896a6db64651678576f9b4bc92558bbbfb3f5a5	2025-12-23	[sui-tool] Increase max_retries from 5 to 10 (#24732)	REVIEWED	EXCLUDE_FEATURE		仅调整重试阈值，无缺陷说明或修复逻辑
6	34f9a3e3bd28a34098454c781bf14574d8825458	2025-12-23	Add missing call index column to move calls table (#24724)	APPLIED	MERGE	2e63c3c394b3dbf2745cfe37780f44a174c762b0	为基线 move_calls 和分析表增加 PTB 命令索引
7	0e14c011f113822608b1f19c76bbacb73e0caa82	2025-12-23	Bridge limiter bypass (#24221)	REVIEWED	EXCLUDE_FEATURE		引入 Bridge V2 合约和协议行为，13254 行新增为主
8	0b0dc2a896113a68ec39c77da8086fe0a5ee6381	2025-12-25	[framework] fix off-by-one error in total supply (#24702)	APPLIED	MERGE	a3efb2806ee49cdcd22e13a55de69ab9e628b0a2;ff28c61c303253d8cec3618b2d32c1021a1e4fb1	修复基线严格小于导致无法达到 u64::MAX，并重建协议 105 快照
9	8790f12170866f715d8313f1467e1d410769bca9	2025-12-26	consensus: simplify indirect finalization blocking tasks (#24741)	REVIEWED	EXCLUDE_FEATURE		保持语义的 JoinSet 重构，不是缺陷修复
10	101d3b79c711bcc801eaf40a6a0bb9e21d26b75e	2025-12-29	fix(consensus): handle VecDeque wraparound in scan_last_blocks_by_author (#24745)	APPLIED	MERGE	95467360339daebc27ecf98c01ebe53c7f879f9f	修复基线 as_slices().0 静默丢失第二分段
11	e72c9feb85c1cfcfe60af17625c041fb21ab5ddf	2025-12-29	[consensus] avoid cloning subscribed block before handling (#24746)	REVIEWED	EXCLUDE_FEATURE		仅消除已订阅块的一次 clone，属于性能优化
12	3942fc1e57f05b4c45adf7514f7b32db71e407ac	2025-12-29	[graphql-alt] Add checks and coin selection argument to simulateTransaction (#24679)	REVIEWED	EXCLUDE_FEATURE		扩展 simulateTransaction 的 checks 与 coin selection API
13	da34bd879b8e53a67f9955a393bd5c5ceede94db	2025-12-30	[fix] add always_include_required_pcrs flag to parse nitro attestation (#24670)	APPLIED	MERGE	e25a00e95f31e4008f5e522406ded0e6bd8bb706	修复基线启用自定义 PCR 后错误过滤全零必需 PCR
14	56ca03f774c4b1f2246dc8936f0caaf4668ce07b	2025-12-30	[move-ide] Implemented server restart command (#24723)	REVIEWED	EXCLUDE_FEATURE		新增 Move IDE restart 命令与客户端通知
15	b21d9071a1eb5697da7d561e5c5af39fce438938	2025-12-30	Remove Quorum Driver and migrate to Transaction Driver (#24742)	REVIEWED	EXCLUDE_FEATURE		大规模移除 Quorum Driver 并迁移 Transaction Driver
16	d5aff4f9167014d02776387b0cc684c47762c890	2025-12-30	Address balances: account for storage cost of accumulator objects (#24690)	REVIEWED	EXCLUDE_FEATURE		以协议 v106 和新系统交易引入估算型存储基金记账机制
17	4d7fa911cb4d2e477ae0f78c82d4a5fa178b949f	2025-12-31	perf: avoid extra clones in core thread dispatcher (#24748)	REVIEWED	EXCLUDE_FEATURE		仅减少 core thread dispatcher 的 clone
18	b079752c05d5d53f3020fe18784c5da10c97a931	2025-12-31	[graphql-alt] Update IAddressable return types for partial error support [2/n] (#24681)	REVIEWED	EXCLUDE_FEATURE		GraphQL partial error 系列的返回类型/API 扩展
19	d346634879d2839c9132d509d68a9c94f694e380	2025-12-31	Improvements & fixes for discovery protocol (#24720)	APPLIED	MERGE	49acd0b4410d0b92ed2dc68c87212fb1e0919fae	抽取基线 allowlist 主动拨号与 Private 节点信息泄露修复
20	22f9fc9781732d651e18384c9a8eb1dabddf73a6	2025-12-31	Disable Owned Object Locking (#24676)	REVIEWED	EXCLUDE_FEATURE		协议级禁用 owned object locking 并改写交易执行路径
21	b62fe4118e50eebe148644a3373a9f547c10a00d	2026-01-02	Sui v1.63.0 Framework Bytecode snapshot (#24755)	REVIEWED	EXCLUDE_POST_FORK		协议 106 framework 快照依赖 fork 后新增的 accumulator 存储基金机制
22	c1524c8b2b814f6d1b9fb72b793a85061d460534	2026-01-02	Sui v1.64.0 Version Bump (#24756)	REVIEWED	EXCLUDE_NON_CODE		仅版本、依赖和 changelog bump
23	c748f4b478d31236a1930bc70a65a793599c3d2d	2026-01-03	Use a single AuthorityPerEpochStore in SuiTxValidator (#24758)	APPLIED	MERGE	1577e755f6dd00b1368cb508e94a5d4378819ea0	固定 validator 的 epoch store，避免 epoch 切换竞态
24	9f05896701704d0734d42ae2a64f2056a01cda56	2026-01-04	Gas charger refactoring (#24726)	REVIEWED	EXCLUDE_FEATURE		为后续协议兼容层准备的 gas charger 重构
25	dbd8cfa70a222975ec3613eb3e552557742ad32d	2026-01-05	Merge accumulator events early to avoid discrepancy between TransactionOutputs::accumulator_events and TransactionEffects::acumulator_events (#24762)	APPLIED	MERGE	aca95a578a822552524732a8c908c71f69b2cb50	在生成 TransactionOutputs 前按 accumulator object 合并 events
26	02ec45c773ca1d97044218ddfa90cf9e26964394	2026-01-05	[core] prune dead branches from forced-on configs (#24731)	REVIEWED	EXCLUDE_FEATURE		协议配置强制开启后的 dead-code 清理
